,,,,,,,,1.179487179,11.69230769,,-1.794871795,8.358974359,,0.974358974,12.71794872
Year,Min_AQI,Max_AQI,Median_AQI,Avg_AQI,Mode_AQI,Fiercity Rank,AQI_Rank by mean,Difference by mean,Abs diff,AQI_Rank by Max,Difference by Max,Abs,AQI_Rank by Median,Difference by Median,Abs
2021,4,156,39,50.32065217,28,0,1,0,0,7,0,0,1,0,0
1985,23,55,38,39.8,23,27,2,-25,25,33,-6,6,2,-25,25
1986,9,67,35,37,30,29,4,-25,25,22,7,7,3,-26,26
1993,10,77,31,36.43902439,25,41,6,-35,35,18,23,23,4,-37,37
2011,5,71,31,32.72826087,33,1,9,8,8,19,-18,18,5,4,4
1996,6,60,31,32.70731707,29,22,10,-12,12,27,-5,5,6,-16,16
1998,0,59,31,27.97777778,1,30,19,-11,11,29,1,1,7,-23,23
2012,0,138,29,37.36956522,8,7,3,-4,4,12,-5,5,8,1,1
1994,5,64,28.5,32.23684211,19,26,11,-15,15,24,2,2,9,-17,17
2009,11,59,28.5,29.59782609,17,13,18,5,5,28,-15,15,10,-3,3
1992,7,89,27,31.59574468,13,33,12,-21,21,16,17,17,11,-22,22
2016,8,365,25.5,36.72282609,25,4,5,1,1,1,3,3,12,8,8
2007,3,174,25,31.05978261,13,9,13,4,4,3,6,6,13,4,4
1997,8,55,25,27.57142857,19,38,20,-18,18,34,4,4,14,-24,24
1990,11,54,25,25.96,25,32,25,-7,7,35,-3,3,15,-17,17
2020,2,159,24.5,33.36413043,10,5,8,3,3,6,-1,1,16,11,11
2017,4,152,24,34.47826087,24,2,7,5,5,10,-8,8,17,15,15
2014,4,85,24,26.38043478,18,11,24,13,13,17,-6,6,18,7,7
2019,2,64,24,24.81521739,30,10,28,18,18,25,-15,15,19,9,9
2006,1,188,23,30.22826087,15,6,16,10,10,2,4,4,20,14,14
2015,2,174,23,29.70108696,23,8,17,9,9,4,4,4,21,13,13
2004,2,155,23,25.14130435,15,23,27,4,4,8,15,15,22,-1,1
2018,4,153,23,30.69021739,18,3,14,11,11,9,-6,6,23,20,20
1995,8,97,23,30.35897436,31,34,15,-19,19,14,20,20,24,-10,10
2013,6,58,23,24.09782609,20,15,29,14,14,31,-16,16,25,10,10
1988,6,69,22,26.88888889,13,21,21,0,0,20,1,1,26,5,5
2008,1,66,22,25.35869565,13,12,26,14,14,23,-11,11,27,15,15
1991,9,59,21,26.74285714,19,36,23,-13,13,30,6,6,28,-8,8
1987,8,37,21,21.54545455,23,24,31,7,7,39,-15,15,29,5,5
2022,8,148,20.5,26.76086957,18,0,22,0,0,11,0,0,30,0,0
2010,7,63,20.5,22.97282609,20,14,30,16,16,26,-12,12,31,17,17
2023,3,98,17.5,20.31451613,16,0,32,0,0,13,0,0,32,0,0
2005,1,56,17,18.01086957,2,16,34,18,18,32,-16,16,33,17,17
1989,7,42,17,18.42307692,12,28,33,5,5,38,-10,10,34,6,6
2000,1,167,6,15.6961326,5,17,35,18,18,5,12,12,35,18,18
1999,2,54,6,10.72571429,6,25,38,13,13,36,-11,11,36,11,11
2003,1,94,5,11.78531073,3,18,36,18,18,15,3,3,37,19,19
2001,2,68,5,11.52717391,3,20,37,17,17,21,-1,1,38,18,18
2002,2,49,5,10.61413043,3,19,39,20,20,37,-18,18,39,20,20
